R,L,C,RC_amplitude_1,RC_mean_1,RC_standard_deviation_1,RC_amplitude_2,RC_mean_2,RC_standard_deviation_2,RC_amplitude_3,RC_mean_3,RC_standard_deviation_3,RC_amplitude_4,RC_mean_4,RC_standard_deviation_4,RC_amplitude_5,RC_mean_5,RC_standard_deviation_5,RC_amplitude_6,RC_mean_6,RC_standard_deviation_6,RC_amplitude_7,RC_mean_7,RC_standard_deviation_7,RC_amplitude_8,RC_mean_8,RC_standard_deviation_8,RC_Loss,RC_peaks,RL_amplitude_1,RL_mean_1,RL_standard_deviation_1,RL_Loss,RL_peaks
0.08785367046948522,5.826054798930759e-07,2285.4873286836396,0.00042482663618392954,0.0060878108859147625,0.48152500165318013,0.0002654596906170083,0.07712906117627992,0.144540282450075,0.00018815092777144785,0.5361956770568816,0.12493264182686951,0.0013978850444073742,3.0990463391994267,0.36214351936916045,0.000176009351261656,23.628360263551752,0.37766179653569537,0.00039321868858100686,68.32607387157405,0.3180519269107669,0.0007041533145991364,299.357729472049,0.15163811837326518,0.0,0.0,0.0,1.149616011199203e-09,7,0.0,0.0,0.0,-1.0,0
0.1588707841874566,5.694619914065952e-07,2246.833871765546,0.0004027756900004983,0.0060878108859147625,0.4779723340023356,0.0002847882998535875,0.08077336398796711,0.13857838264290318,0.0001987368356577746,0.5361956770568816,0.12312534391101583,0.0015655369156273682,2.825711502920827,0.358211953292959,0.0001789722587636745,21.54434690031882,0.36595107774602936,0.00040130711874174744,68.32607387157405,0.3228934791287797,0.0007008032588747245,299.357729472049,0.15140321294663583,0.0,0.0,0.0,1.0238949398842788e-09,7,0.0,0.0,0.0,-1.0,0
0.2328570567042334,5.878105073958256e-07,2217.9051173285793,0.00036885893888213795,0.0060878108859147625,0.4744072471651778,0.00030021133470422505,0.07364918067322965,0.13585419282842504,0.00022415798053351718,0.5615306076746273,0.12022204466427494,0.0015270420796292007,2.9592247107579577,0.35439648777871163,0.0001624027680016592,21.54434690031882,0.36389304526772753,0.00041194183762120995,68.32607387157405,0.32416731441278296,0.0007111760485500607,299.357729472049,0.15077282064243233,0.0,0.0,0.0,9.630881318963854e-10,7,0.0,0.0,0.0,-1.0,0
0.13543539511738345,5.610739215853733e-07,2261.922160862587,0.00042933639819181144,0.0060878108859147625,0.4785106190268399,0.00026578795702578904,0.08077336398796711,0.14696947110779893,0.00018769088646627236,0.5120037984840887,0.1277309021558369,0.001561174873474547,2.825711502920827,0.36074501615468046,0.0001819416576317713,21.54434690031882,0.37770323563361935,0.00039749840293160923,68.32607387157405,0.32361828243264473,0.0006939907900577837,299.357729472049,0.15113450647136137,0.0,0.0,0.0,1.129665284001002e-09,7,0.0,0.0,0.0,-1.0,0
0.08816160442074761,5.675140439660331e-07,1571.0998856480544,0.00013310795463246762,0.003498320935775036,0.4264418216643086,0.0004119140437119268,0.08077336398796711,0.1329404532042487,0.00023287401828537318,0.5361956770568816,0.13128029005885855,0.0019137853143036537,2.2432475028984156,0.36422219524147936,0.00018664526390195203,17.10341000337838,0.31679330034529707,0.0004284728972511707,68.32607387157405,0.33477383191940224,0.0007265359528409765,299.357729472049,0.15108070736569976,0.0,0.0,0.0,8.356481317614698e-10,7,0.0,0.0,0.0,-1.0,0
0.1659902731771581,5.477914949859773e-07,1843.1086925055467,0.0002870762655245967,0.005300426015879673,0.44821804914561986,0.00041982483910036337,0.084589857965743,0.13097777760045792,0.00021569577596247823,0.5615306076746273,0.13829011778942324,0.0020658766386546673,2.0453938337933906,0.37072460388135375,0.00019405769146436962,16.331744666101667,0.2838628090931185,0.0004350064828413582,65.24336329932622,0.3385305679157293,0.0007225240814286565,299.357729472049,0.1513885989332823,0.0,0.0,0.0,9.44706157261869e-10,7,0.0,0.0,0.0,-1.0,0
0.23415675514843315,5.633254693204308e-07,1825.8979356142431,0.0002452315181253639,0.005300426015879673,0.45547773699538546,0.0003984160775212157,0.08077336398796711,0.1359613220230778,0.00024346282684992805,0.5361956770568816,0.1385864219140873,0.002010900311450842,2.142037490358383,0.36860111405074925,0.00018155258534071264,16.331744666101667,0.2895839152378708,0.0004453370653843182,68.32607387157405,0.32998119262246794,0.0007306538052911651,299.357729472049,0.15060880848018854,0.0,0.0,0.0,9.254620871672608e-10,7,0.0,0.0,0.0,-1.0,0
0.1386561156832613,5.458097032523923e-07,1871.2403539236054,0.0002750574610713493,0.005550868030059805,0.45671055700599006,0.00036647206812478957,0.084589857965743,0.1479343193743617,0.0002005565145548793,0.5120037984840887,0.14166529111883458,0.002070090782645836,2.0453938337933906,0.37187614601590047,0.00019303382079458817,16.331744666101667,0.29580294442855726,0.0004288311492391983,65.24336329932622,0.3423821387142005,0.0007093464128359977,299.357729472049,0.15141139736359893,0.0,0.0,0.0,9.76097893515282e-10,7,0.0,0.0,0.0,-1.0,0
0.08915082970634103,5.516438251981973e-07,2058.789937372217,0.0004665097807480564,0.008410310505352604,0.43231124135468296,0.00040386047335002365,0.09715578646301858,0.13961673932065907,0.000168381512828659,0.48890340015614425,0.15353999273115942,0.0023965852383225164,1.700499235818794,0.39156440380262375,0.00019167995995331608,12.965281629896689,0.27409028056416096,0.00046217670190381205,65.24336329932622,0.3536954531080378,0.0007668774017070585,299.357729472049,0.1514209531426552,0.0,0.0,0.0,1.3984846366713232e-09,7,0.0,0.0,0.0,-1.0,0
0.1734682412352413,5.305108327491475e-07,2190.5575434954335,0.0006026184766502164,0.009223851039358476,0.38504179551557105,0.0004551860459779819,0.11158839925077481,0.1284903150149421,0.0025980423440593206,1.5505157798326221,0.4093593034451854,0.0002088188167453031,11.8217481864667,0.2487320174325977,0.0004662983915703311,65.24336329932622,0.360284018437139,0.0007617443378206263,299.357729472049,0.15202896382572376,0.0,0.0,0.0,0.0,0.0,0.0,2.4893370420772483e-09,6,0.0,0.0,0.0,-1.0,0
0.23747428273782134,5.482750821940476e-07,2210.874099413492,0.000566473854376686,0.009223851039358476,0.38725574373590466,0.00045159379206548647,0.10655379505623053,0.12729799551496554,0.002523295145905757,1.623776739188721,0.40614444306660236,0.00020013997040311857,12.380318840613969,0.24881926075474212,0.0004759365976221339,65.24336329932622,0.3519539761079311,0.0007671196373477893,299.357729472049,0.15155203549337012,0.0,0.0,0.0,0.0,0.0,0.0,2.4923492122286222e-09,6,0.0,0.0,0.0,-1.0,0
